,count,mean,std,min,25%,50%,75%,max,observacoes
creatinina_inicial,6115.0,1.3287408013082538,0.8179865600719335,0.1,0.9,1.12,1.5,20.5,Não precisa inserir dados
creatinina_final,4555.0,1.4246542261251385,1.111396579200953,0.02,0.89,1.1,1.5,15.7,Não precisa inserir dados
albumina_inicial,180.0,4.0955555555555545,0.6269712798232094,1.0,3.875,4.1,4.4,6.7,
albumina_final,13.0,3.8961538461538465,0.6512237001924206,2.6,3.3,4.02,4.3,4.8,"13 dados são nulos, não é interessante inserir dados"
rel_alb_creat_uauc_inicial,2777.0,13.719240187252483,154.13251541226097,0.01,0.06,0.12,0.44,5148.0,
rel_alb_creat_uauc_final,1069.0,7.040308699719369,70.14275283238196,0.01,0.07,0.13,0.4,1262.0,
proteinuria24h_inicial,2802.0,420.705631691649,1231.601494765168,0.01,61.275000000000006,127.42,299.9,43700.0,max= 43700(2012-10-10)- id paciente 2445; final deste mesmo paciente foi 256.80(2015-08-06)
proteinuria24h_final,1322.0,570.6768003025718,1192.7431332783738,0.03,72.0,148.76,480.0,15340.0,max= 15340(2015-11-18)- id paciente 6452; inicial deste mesmo paciente foi 1873(2013-05-23)
microAlbumi_inicial,2018.0,146.91798810703685,551.8641402159031,0.04,7.0,19.22,62.0,12650.0,max= 12650(2014-06-14)- id paciente 8383; final deste mesmo paciente foi 13.20(2014-10-09)
microAlbumi_final,531.0,116.91248587570618,299.15479789314423,0.01,7.28,21.0,79.0,3883.2,max= 3883.20(2014-11-18)- id paciente 5084; inicial deste mesmo paciente foi 3748(2013-02-14)
hematuria_inicial,671.0,7332.672727272728,40896.14137648755,1.0,430.0,1000.0,2500.0,500000.0,max= 500000(2014-06-16)- id paciente 8518; não tem valor final
hematuria_final,85.0,13172.335294117647,54514.72551376919,8.5,500.0,1000.0,3000.0,428000.0,max= 428000(2012-08-03)- id paciente 5141; inicial deste mesmo paciente foi 251500(2012-07-11)
tshi_inicial,4800.0,6.606414583333324,15.972357329628682,0.01,1.45,2.39,4.25,191.1,Não precisa inserir dados
tshi_final,2667.0,13.597214098237721,24.842787651043736,0.01,1.62,2.98,6.875,164.46,Não precisa inserir dados
potassio_inicial,5251.0,4.573467910874126,0.6104807082234063,0.8,4.2,4.5,4.9,9.5,Não precisa inserir dados
potassio_final,3388.0,4.655885478158206,0.6028042047224247,2.6,4.2,4.6,5.0,7.9,Não precisa inserir dados
ureia_inicial,4867.0,46.76422847750153,31.493635870192477,1.4,29.0,38.0,53.0,752.5,
ureia_final,2832.0,51.86831920903956,36.437222264767996,1.1,31.0,41.0,61.0,734.0,
ureia24h_inicial,691.0,7774.750260492035,11138.221230761803,9.4,22.8,779.0,14093.5,96000.0,Possui 2 picos e não precisa adicionar dados
ureia24h_final,132.0,8895.602954545455,13588.227851890442,9.6,20.75,874.0,14553.425,89000.0,Possui 2 picos e não precisa adicionar dados
fosforo_inicial,2575.0,3.8275456310679585,0.9284195677072727,0.1,3.3,3.7,4.3,13.5,Não precisa inserir dados
fosforo_final,1312.0,3.9253201219512204,0.9781523646516044,1.4,3.3,3.8,4.4,13.3,Não precisa inserir dados
pth_intacto_inicial,1232.0,116.89471590909099,129.74147066124405,0.6,45.224999999999994,76.7,138.94,1227.9,Não precisa inserir dados
pth_intacto_final,550.0,163.07945454545455,185.33464356397118,3.0,58.0,103.19999999999999,193.92499999999998,1664.06,Não precisa inserir dados
vitaminaD_inicial,3300.0,25.080278787878704,9.74626553866356,1.3,18.5,24.155,30.5,75.7,Não precisa inserir dados
vitaminaD_final,1863.0,28.682801932367123,10.171605023336229,2.0,21.715,27.9,33.8,90.0,Não precisa inserir dados
fosfatase_alc_inicial,1085.0,113.66627649769585,97.66898616284736,2.5,65.0,87.0,126.0,943.0,Não precisa inserir dados
fosfatase_alc_final,257.0,109.25272373540858,81.35529094304376,2.61,71.0,91.0,119.0,775.0,Não precisa inserir dados
ck_inicial,3422.0,146.92618936294565,149.84729793930308,2.0,72.0,110.0,172.0,3698.0,
ck_final,1754.0,160.8044526795895,263.6094792514876,0.99,72.0,112.0,178.0,8701.0,
ecoae_inicial,1015.0,37.86532019704434,6.12197349216679,3.0,34.0,37.0,42.0,87.0,
ecoae_final,169.0,38.92307692307692,6.414269805898185,18.0,35.0,38.0,43.0,59.0,
ecoao_inicial,1005.0,31.925223880597013,4.717692928577853,2.2,29.0,32.0,35.0,52.0,
ecoao_final,165.0,32.42424242424242,4.5681179280188,18.0,29.0,32.0,35.0,49.0,
ecosiv_inicial,996.0,10.248895582329315,2.2227487137241537,0.9,9.0,10.0,12.0,25.0,
ecosiv_final,165.0,10.145454545454545,2.223089877423809,6.0,8.0,10.0,12.0,18.0,
